hgnc_id	symbol
13221	BCL11A
13222	BCL11B
16863	BCLAF1
27413	BCLAF3
13815	BCO1
18503	BCO2
20893	BCOR
25657	BCORL1
1014	BCR
1020	BCS1L
1027	BDH1
32389	BDH2
1029	BDKRB1
1030	BDKRB2
1033	BDNF
13652	BDP1
24160	BEAN1
1034	BECN1
38606	BECN2
24163	BEGAIN
28509	BEND2
23040	BEND3
23815	BEND4
25668	BEND5
20871	BEND6
23514	BEND7
12703	BEST1
17107	BEST2
17105	BEST3
17106	BEST4
14562	BET1
19348	BET1L
1036	BEX1
30933	BEX2
13388	BEX3
25475	BEX4
27990	BEX5
17613	BFAR
1040	BFSP1
1041	BFSP2
1043	BGLAP
1044	BGN
35126	BHLHA9
22265	BHLHA15
29353	BHLHB9
11963	BHLHE22
16093	BHLHE23
1046	BHLHE40
16617	BHLHE41
44318	BHMG1
1047	BHMT
1048	BHMT2
19351	BICC1
1049	BICD1
17208	BICD2
28095	BICDL1
33584	BICDL2
4332	BICRA
21111	BICRAL
1050	BID
1051	BIK
1052	BIN1
1053	BIN2
1054	BIN3
590	BIRC2
591	BIRC3
593	BIRC5
13516	BIRC6
13702	BIRC7
14878	BIRC8
16034	BIVM
1055	BLCAP
33495	BLID
1057	BLK
1058	BLM
1059	BLMH
14211	BLNK
4200	BLOC1S1
20984	BLOC1S2
20914	BLOC1S3
24206	BLOC1S4
18561	BLOC1S5
8549	BLOC1S6
1062	BLVRA
1063	BLVRB
1065	BLZF1
24132	BMF
1066	BMI1
1067	BMP1
1069	BMP2
18041	BMP2K
1070	BMP3
1071	BMP4
1072	BMP5
1073	BMP6
1074	BMP7
21650	BMP8A
1075	BMP8B
20869	BMP10
1068	BMP15
24154	BMPER
1076	BMPR1A
1077	BMPR1B
1078	BMPR2
23505	BMS1
26475	BMT2
1079	BMX
1081	BNC1
30988	BNC2
